id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1306716216657018881,1306714803071856640,2020-09-17 23:06:38 Maroc (heure d’été),2020-09-17,23:06:38,+0100,1267781264230117381,justice55565092,Justice,,"@SGTRickODS 🤷🏼‍♀️ so? Tell me. Are ppl being flogged for not wearing a mask 😷? Since colour is no longer and should no longer be an issue, he needs a good flogging. Tie him to a lamp post &amp; strike him for every dumb thing he’s ever said. See how he lasts. Sorry if I offended anyone but 🤷‍♀️? 🙏",en,[],[],[],1,0,1,[],[],https://twitter.com/Justice55565092/status/1306716216657018881,False,,0,,Penticton,,,,,,"[{'screen_name': 'SGTRickODS', 'name': 'Palmer Report reader SGTRick 💉🇺🇸🇺🇦', 'id': '4285126273'}]",,,,
1302434789111128064,1302376374557184005,2020-09-06 03:33:46 Maroc (heure d’été),2020-09-06,03:33:46,+0100,1267781264230117381,justice55565092,Justice,,"@AM_McCarthy @fred_guttenberg If it’s patriotic to not wear a mask, it must be the same for life jackets. Oh the irony!",en,[],[],[],0,1,2,[],[],https://twitter.com/Justice55565092/status/1302434789111128064,False,,0,,Penticton,,,,,,"[{'screen_name': 'AM_McCarthy', 'name': 'Anne ""IStandWithUkraine"" McCarthy', 'id': '1281453738'}, {'screen_name': 'fred_guttenberg', 'name': 'Fred Guttenberg', 'id': '967027984426242053'}]",,,,
1302333635714981890,1302333635714981890,2020-09-05 20:51:49 Maroc (heure d’été),2020-09-05,20:51:49,+0100,784795766,spongebenpants,Mayor Pants,,"Guys, we should honestly just let them have this one....  At least they're wearing masks ?",en,[],[],[],1,0,1,[],[],https://twitter.com/SpongeBenPants/status/1302333635714981890,False,https://twitter.com/MsLisaHendricks/status/1302064472081670146,0,,Penticton,,,,,,[],,,,
1300843730946064384,1282431700916559872,2020-09-01 18:11:28 Maroc (heure d’été),2020-09-01,18:11:28,+0100,1267781264230117381,justice55565092,Justice,,@honcho_miguel @santiagomayer_ @HayhurstJean Our boarders are locked down because of you. I love going to America at any time. Even if it means my $1 is only worth .64-.75. It does not bother me. Nobody wants anyone of you’ze in their country. That must sting. I want to hug my neighbours again. Wear a mask 😷! Easy-peezy.,en,[],[],[],3,1,1,[],[],https://twitter.com/Justice55565092/status/1300843730946064384,False,,0,,Penticton,,,,,,"[{'screen_name': 'honcho_miguel', 'name': 'GFY. Signed, Mike Honcho', 'id': '1225305721715093506'}, {'screen_name': 'santiagomayer_', 'name': 'Santiago Mayer 🌻', 'id': '4327127414'}]",,,,
1332738714234093569,1332430554227232768,2020-11-28 18:30:45 Maroc (heure d’été),2020-11-28,18:30:45,+0100,105271814,mandilunan,Mandi Lunan,,@LittleMxSurly @gleegz It’s a rush I’ll never be able to recreate- been thinking of doing it again with my older body.  But after Covid- there’s a bunch of groups about an hour from me in Nelson. Which is also currently home to anti mask marches/ groups financed by a large anti vaccine group.,en,[],[],[],1,0,0,[],[],https://twitter.com/MandiLunan/status/1332738714234093569,False,,0,,Trail,,,,,,"[{'screen_name': 'LittleMxSurly', 'name': 'Little Mx. Surly, social contageon', 'id': '22009627'}, {'screen_name': 'gleegz', 'name': 'Glennys Egan (she/her)', 'id': '24714478'}]",,,,
1308493130711195648,1308222067175690240,2020-09-22 20:47:27 Maroc (heure d’été),2020-09-22,20:47:27,+0100,417689467,physioguy94,Kirby Epp,,@realDonaldTrump Great physical distancing!!! I’m sure you told them all to wear their masks and stay safe! #SocialDistancing #Masks #StaySafe #COVIDIDIOTS,en,[],[],[],0,0,2,"['socialdistancing', 'masks', 'staysafe', 'covididiots']",[],https://twitter.com/Physioguy94/status/1308493130711195648,False,,0,,Trail,,,,,,"[{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': '25073877'}]",,,,
1306459419107000320,1306459419107000320,2020-09-17 06:06:13 Maroc (heure d’été),2020-09-17,06:06:13,+0100,364969874,catherinemanna,Catherine Manna 🕛,,"And now we all must wear masks  not metaphorically speaking  What does it all mean?  its a challenge LIFE IS temporary, with meaning purpose, promise. No matter who or what you are , what is hidden to others will be revealed, God knows who you are &amp; all intentions. Live by ♥️  https://t.co/ipEj06cxlJ",en,[],[],['https://pbs.twimg.com/media/EiF56r8UYAA2vzu.jpg'],0,0,0,[],[],https://twitter.com/CatherineManna/status/1306459419107000320,False,,1,https://pbs.twimg.com/media/EiF56r8UYAA2vzu.jpg,Trail,,,,,,[],,,,
1305671202074054657,1305521504365535232,2020-09-15 01:54:07 Maroc (heure d’été),2020-09-15,01:54:07,+0100,417689467,physioguy94,Kirby Epp,,"@Jared_Carrabis Well, if your President tells you that missing a 3 foot putt equates to shooting a guy in the back 7 times.....I guess you may think wearing a mask is like having a knee on your throat for over 8 minutes until you die... #IdiotInChief",en,[],[],[],0,0,0,['idiotinchief'],[],https://twitter.com/Physioguy94/status/1305671202074054657,False,,0,,Trail,,,,,,"[{'screen_name': 'Jared_Carrabis', 'name': 'Jared Carrabis', 'id': '59345386'}]",,,,
1302809329700020225,1302809326013251584,2020-09-07 04:22:03 Maroc (heure d’été),2020-09-07,04:22:03,+0100,1941580790,rosslandmuseum,Rossland Museum & Discovery Centre,,"As we move indoors, we need to take every precaution to keep each other safe - Mask-wearing is encouraged for all museum visits. The upper level will be open as long as it’s warm enough to do so, so you still have time to check out our geo building, fire trucks, CPR caboose, etc.",en,[],[],[],0,0,1,[],[],https://twitter.com/RosslandMuseum/status/1302809329700020225,False,,0,,Trail,,,,,,[],,,,
1296226904282808320,1296226904282808320,2020-08-20 00:25:51 Maroc (heure d’été),2020-08-20,00:25:51,+0100,50920109,frednock,Fred Nock,,"Trudeau unsure if he will send his children back to school and poll suggests he's not alone  https://t.co/sCKdvPZPIq “We are looking at what the schools’ plans are, we’re looking at class sizes, we’re looking at how the kids are feeling about wearing masks.” said Trudeau #bced",en,[],['https://nationalpost.com/news/canada/trudeau-unsure-if-he-will-send-children-to-school-poll-suggests-hes-not-alone/'],[],0,0,1,['bced'],[],https://twitter.com/frednock/status/1296226904282808320,False,,0,,Trail,,,,,,[],,,,
