,tweet
101,"['got', 'grocery', 'store', 'every', 'body', 'wa', 'wearing', 'mask', 'without', 'problem', 'last', 'week', 'entire', 'store', 'think', 'people', 'fear', 'look', 'cool', 'wearing', 'problem', 'anymore', 'like', 'teenager']"
102,"['spanish', 'flu', 'wear', 'mask', 'coronavirus', 'wearadamnmask', 'masqueobligatoire', 'covid', '19']"
103,"['yep', 'new', 'reality', 'want', 'stop', 'shit', 'time', 'wear', 'despite', 'uncomfort', 'bullshit', 'like', 'constitutional', 'right', 'people', 'wear', 'seatbelt', 'drive', 'wear', 'mask', 'grocery', 'store']"
104,"['wear', 'mask', 'dotherightthing', 'covid', '19', 'quebec', 'rtc', 'quebec', 'quebec']"
105,"['carnt', 'wear', 'mask', 'bank', 'get', 'driver', 'photo', 'licence', 'enter', 'police', 'station', 'vic', 'wear', 'berka', 'full', 'head', 'dress', 'muslim', 'faith', 'fairness', 'equality', 'muslim', 'faith', 'protester']"
106,"['yo', 'today', 'good', 'day', 'wear', 'mask', 'public', 'stream', 'darker', 'day']"
107,"['ive', 'talked', 'many', 'vb', 'business', 'today', 'amp', 'appreciate', 'effort', 'mask', 'forvanburen', 'every', 'time', 'wear', 'face', 'covering', 'public', 'benefit', 'others', 'community', 'together', 'covid', '19', 'update', 'july']"
108,"['dont', 'forget', 'wear', 'damn', 'mask']"
109,"['cest', 'drle', 'comment', 'soudainement', 'tout', 'le', 'monde', 'est', 'asthmatique', 'paralllement', 'au', 'bureau', 'jsuis', 'la', 'seule', 'qui', 'besoin', 'de', 'pompes', 'pour', 'passer', 'au', 'travers', 'quintes', 'de', 'toux', 'lorsque', 'enrhume', 'hey', 'pi', 'surprise', 'ive', 'got', 'absolutely', 'fucking', 'problem', 'wearing', 'mask', 'go', 'figure']"
110,"['picked', 'gorgeous', 'flower', 'downtown', 'farmer', 'market', 'started', 'today', 'appreciated', 'everyone', 'wearing', 'mask', 'social', 'distancing', 'hand', 'sanitizer', 'station', 'set', 'thanks', 'yql', 'farmersmarket', 'supportlocal']"
111,"['folk', 'hoarding', 'toilet', 'paper', 'meat', 'baby', 'food', 'etc', 'one', 'wanting', 'care', 'wearing', 'mask', 'yall', 'caring', 'back', 'marchapril', 'asking', 'friend']"
112,"['wish', 'everyone', 'would', 'wear', 'mask', 'way', 'wouldnt', 'way', 'catch', 'distribute', 'chinese', 'flu', 'scenario', 'mask', 'fool', 'proof', 'maskup']"
113,"['dont', 'wear', 'mask']"
114,"['beginning', 'tomorrow', 'mandatory', 'wear', 'mask', 'face', 'covering', 'indoors', 'dont', 'fret', 'forgot', 'disposable', 'one', 'donation', 'go', 'careclosetohome', 'zantes', 'bar', 'grill']"
115,"['alright', 'checked', 'close', 'gonna', 'get', 'wearing', 'mask', 'shipped', 'door', 'daysthat', 'give', 'enough', 'time', 'get', 'ready', 'next', 'wave', 'covid', '19']"
116,"['wearing', 'mask', 'ever', 'hinshaw', 'bullshit', 'covid', 'sickness', 'counting', 'people', 'arent', 'sick', 'positive', 'wtf', 'thats', 'number', 'fuck', 'hinshaw', 'wash', 'hand', 'still', 'anyways']"
117,"['photo', 'prfre', 'ou', 'life', 'give', 'lemon', 'life', 'make', 'wear', 'mask', 'quebec', 'quebec']"
118,"['canceled', 'hotel', 'amp', 'airfare', 'im', 'extremely', 'upset', 'plan', 'hhn', 'amp', 'mnsshp', 'year', 'one', 'thing', 'look', 'forward', 'year', 'know', 'best', 'beg', 'please', 'wear', 'mask', 'practice', 'social', 'distancing', 'use', 'hand', 'sanitizer', 'stay', 'home']"
119,"['youre', 'wearing', 'mask', 'inside', 'car', 'im', 'gonna', 'go', 'ahead', 'assume', 'control', 'urge', 'lick', 'window']"
120,"['psa', 'batman', 'mask', 'okay', 'wearing', 'going', 'store', 'may', 'help', 'fight', 'crime', 'help', 'fight', 'stop', 'covid', '19', 'covid', '_19', 'covid', '19', 'mask', 'batman', 'notapproved', 'bstv']"
121,"['already', 'asked', 'wear', 'face', 'mask', 'time', 'reservation', 'news', 'hey', 'snack', 'little', 'plate', 'called', 'nasi', 'disk', 'call', 'nasi', 'snack', 'also', 'available']"
122,"['seriously', 'struggle', 'breathe', 'thin', 'bit', 'cloth', 'face', 'youre', 'probably', 'high', 'risk', 'category', 'covid', '19', 'really', 'need', 'put', 'fucken', 'mask']"
123,"['big', 'apple', 'colborne', 'ont', 'wearing', 'mask']"
124,"['see', 'wearing', 'mask', 'im', 'assuming', 'youre', 'sick', 'stay', 'home', 'healthy', 'required', 'wear', 'mask', 'wake', 'fuck', 'covid', '19', 'freecountry']"
125,"['many', 'people', 'quebec', 'ontario', 'alberta', 'refuse', 'wear', 'mask', 'socially', 'distance', 'super', 'fucking', 'annoying']"
126,"['think', 'completed', 'covid', 'bingo', 'today', 'saw', 'anti', 'mask', 'protest', 'crass', 'stolen', 'accomodated', 'statement', 'placard', 'included', 'wa', 'huge', 'downpour', 'maybe', 'unfair', 'people', 'present']"
127,"['carry', 'gun', 'protect', 'family', 'help', 'protect', 'family', 'wearing', 'mask', 'fuckkkkkkk', 'noooo']"
128,"['know', 'whats', 'worst', 'part', 'people', 'dont', 'wanna', 'wear', 'mask', 'dont', 'know', 'bad', 'covid', '19', 'swear', 'nothing', 'like', 'flucoldpneumonia', 'worse', 'totally', 'scared', 'wear', 'fucking', 'mask', 'shut', 'fuck']"
129,"['wear', 'mask', 'stopping', 'possible', 'airborne', 'spread', 'covid', '19', 'protecting', 'possibly', 'contracting', 'cosplayers', 'time', 'make', 'custom', 'mask', 'character', 'fashionable', 'functional']"
130,"['wearing', 'non', 'medical', 'mask']"
131,"['mask', 'mandatory', 'thelocalnpc', 'mask', 'maskll', 'covid', '_19', 'wearamask', 'weareinthistogether', 'wearamask', 'wearadamnmask', 'local', 'npc', 'game', 'amp', 'comic']"
132,"['wearing', 'mask', 'free', 'nose', 'job']"
133,"['please', 'wear', 'mask', 'time', 'need', 'support', 'engagement', 'customer', 'community', 'right', 'public', 'place', 'crew', 'serf', 'community', 'everyday']"
134,"['people', 'making', 'excuse', 'wearing', 'mask', 'already', 'stay', 'tf', 'home']"
135,"['novak', 'djokovic', 'check', 'internet', 'plenty', 'amazing', 'website', 'picture', 'teach', 'people', 'make', 'sure', 'wear', 'medical', 'mask', 'safely', 'covid', '19']"
136,"['yep', 'see', 'ppl', 'sharing', 'post', 'wearing', 'mask', 'idc', 'ill', 'either', 'shame', 'wont', 'share', 'airspace']"
137,"['got', 'trump', 'supporter', 'doesnt', 'think', 'trans', 'people', 'shouldnt', 'used', 'preferred', 'restroom', 'top', 'uneducated', 'people', 'wanting', 'wear', 'mask', 'day', 'super']"
138,"['sewing', 'mask', 'working', 'usual', 'day', 'job', 'somewhat', 'unsuccessfully', 'due', 'covid', 'restriction', 'may', 'laid', 'soon', 'dealership', 'running', 'vehicle']"
139,"['given', 'day', 'ive', 'seen', 'hundred', 'car', 'bc', 'plate', 'banff', 'town', 'national', 'park', 'one', 'care', 'follow', 'distancing', 'guideline', 'wear', 'mask', 'maybe', 'slow', 'bit', 'zone']"
140,"['challenge', 'accepted', 'james', 'even', 'vacation', 'wear', 'mask', 'protect', 'wear', 'mask', 'wash', 'hand', 'socially', 'distance', 'together', 'officially', 'challenging']"
141,"['blow', 'flame', 'candle', 'lighter', 'wearing', 'cute', 'mask', 'might', 'good', 'idea', 'ditch']"
142,"['also', 'experienced', 'three', 'employee', 'one', 'wearing', 'mask', 'correctly', 'covid', '19']"
143,"['better', 'stop', 'spreading', 'lie', 'better', 'country', 'look', 'canada', 'almost', 'fully', 'reopened', 'wear', 'mask', 'socially', 'distance']"
144,"['forgot', 'add', 'unless', 'elementary', 'school', 'physical', 'distancing', 'may', 'possible', 'required', 'wear', 'mask', 'votefordout', 'firelecce']"
145,"['wearing', 'louis', 'blue', 'blue', 'mask']"
146,"['wait', 'nose', 'ring', 'work', 'disney', 'would', 'wear', 'mask']"
147,"['keep', 'wearing', 'mask']"
148,"['wa', 'good', 'maskwearing', 'peopleavoiding', 'vacation', 'explorealberta']"
149,"['useful', 'working', 'dusty', 'environment', 'n', 'mask', 'exhaust', 'valve', 'used', 'tearing', 'plaster', 'wall', 'working', 'solo', 'covid', '19', 'control']"
150,"['dumbass', 'racetrack', 'edmonton', 'wa', 'wearing', 'face', 'mask', 'top', 'stand', 'one', 'else', 'stand']"
151,"['well', 'last', 'morning', 'waking', 'view', 'amazing', 'relaxing', 'day', 'back', 'mask', 'wearing', 'world', 'reality', 'today', 'best', 'ive', 'stayed', 'date', 'coming', 'back']"
